,boruta,forward,genetic,lasso
SVC,0.9534117647058824,0.9670588235294117,0.9256470588235294,0.9590588235294117
RandomForestClassifier,0.9684705882352942,0.9599999999999999,0.9738823529411764,0.9491764705882352
GaussianNB,0.9698823529411765,0.9694117647058824,0.9609411764705883,0.9571764705882354
LogisticRegression,0.9284705882352942,0.9632941176470589,0.9270588235294117,0.9656470588235294
