,boruta,forward,genetic,lasso
SVC,0.9294117647058824,0.9647058823529412,0.9529411764705882,0.9176470588235294
RandomForestClassifier,0.9529411764705882,0.9529411764705882,0.9764705882352941,0.9647058823529412
GaussianNB,0.9058823529411765,0.8941176470588236,0.9058823529411765,0.9411764705882353
LogisticRegression,0.8941176470588236,0.9529411764705882,0.9176470588235294,0.9529411764705882
