,boruta,forward,genetic,lasso
SVC,0.8681318681318682,0.9425287356321839,0.8709677419354839,0.9176470588235294
RandomForestClassifier,0.9418604651162791,0.9642857142857143,0.9431818181818182,0.9111111111111111
GaussianNB,0.9746835443037974,0.9743589743589743,0.9746835443037974,0.9411764705882353
LogisticRegression,0.9047619047619048,0.9642857142857143,0.9285714285714286,0.9418604651162791
